Order	Label	X	Y
1	eas1.1.jpg	1476	690
2	eas1.1.jpg	1496	890
3	eas1.1.jpg	1604	1042
4	eas1.1.jpg	1664	1186
5	eas1.1.jpg	1720	1378
6	eas1.1.jpg	1724	1542
7	eas1.1.jpg	1676	1726
8	eas1.1.jpg	1636	1874
9	eas1.1.jpg	1608	1934
10	eas1.1.jpg	1592	2218
11	eas1.1.jpg	1528	2066
12	eas1.1.jpg	1444	1978
13	eas1.1.jpg	1352	1750
14	eas1.1.jpg	1300	1538
15	eas1.1.jpg	1284	1306
16	eas1.1.jpg	1356	930
17	eas1.1.jpg	1400	818
18	eas1.1.jpg	2184	622
19	eas1.1.jpg	2204	850
20	eas1.1.jpg	2240	1242
21	eas1.1.jpg	2204	1594
22	eas1.1.jpg	2104	1882
23	eas1.1.jpg	1976	2090
24	eas1.1.jpg	1812	2226
25	eas1.1.jpg	1780	2106
26	eas1.1.jpg	1800	2046
27	eas1.1.jpg	1764	1826
28	eas1.1.jpg	1772	1446
29	eas1.1.jpg	1824	1238
30	eas1.1.jpg	1920	1078
31	eas1.1.jpg	2008	914
32	eas1.1.jpg	2084	830
33	eas1.1.jpg	2120	770
34	eas1.1.jpg	2148	690
35	eas1.jpg	132	2143
36	eas1.jpg	340	2239
37	eas1.jpg	572	2311
38	eas1.jpg	736	2379
39	eas1.jpg	884	2487
40	eas1.jpg	1000	2643
41	eas1.jpg	1116	2835
42	eas1.jpg	1240	3075
43	eas1.jpg	1336	3259
44	eas1.jpg	1136	3171
45	eas1.jpg	788	3039
46	eas1.jpg	648	2967
47	eas1.jpg	564	2891
48	eas1.jpg	500	2843
49	eas1.jpg	408	2747
50	eas1.jpg	284	2567
51	eas1.jpg	228	2415
52	eas1.jpg	2464	1691
53	eas1.jpg	2398	1943
54	eas1.jpg	2350	2312
55	eas1.jpg	2248	2627
56	eas1.jpg	2137	2786
57	eas1.jpg	1966	2927
58	eas1.jpg	1699	3113
59	eas1.jpg	1555	3233
60	eas1.jpg	1618	2951
61	eas1.jpg	1690	2675
62	eas1.jpg	1762	2477
63	eas1.jpg	1804	2360
64	eas1.jpg	1837	2324
65	eas1.jpg	1924	2159
66	eas1.jpg	2074	2021
67	eas1.jpg	2203	1931
68	eas1.jpg	2326	1829
69	eas2.jpg	642	560
70	eas2.jpg	720	707
71	eas2.jpg	876	917
72	eas2.jpg	951	1079
73	eas2.jpg	1002	1250
74	eas2.jpg	1020	1361
75	eas2.jpg	1017	1550
76	eas2.jpg	1008	1781
77	eas2.jpg	1032	2027
78	eas2.jpg	870	1856
79	eas2.jpg	684	1622
80	eas2.jpg	591	1433
81	eas2.jpg	549	1256
82	eas2.jpg	549	1085
83	eas2.jpg	585	896
84	eas2.jpg	627	770
85	eas2.jpg	645	668
86	eas2.jpg	1897	1814
87	eas2.jpg	1855	1924
88	eas2.jpg	1865	1954
89	eas2.jpg	1835	2030
90	eas2.jpg	1753	2186
91	eas2.jpg	1689	2256
92	eas2.jpg	1631	2314
93	eas2.jpg	1465	2354
94	eas2.jpg	1227	2376
95	eas2.jpg	1285	2268
96	eas2.jpg	1381	2112
97	eas2.jpg	1435	2070
98	eas2.jpg	1507	1988
99	eas2.jpg	1575	1938
100	eas2.jpg	1663	1904
101	eas2.jpg	1725	1876
102	eas2.jpg	1785	1876
103	eas3.jpg	924	2562
104	eas3.jpg	1056	2418
105	eas3.jpg	1320	2082
106	eas3.jpg	1452	1908
107	eas3.jpg	1614	1752
108	eas3.jpg	1854	1626
109	eas3.jpg	2088	1536
110	eas3.jpg	2310	1566
111	eas3.jpg	2268	1776
112	eas3.jpg	2100	2034
113	eas3.jpg	2034	2166
114	eas3.jpg	1848	2274
115	eas3.jpg	1686	2364
116	eas3.jpg	1506	2442
117	eas3.jpg	1350	2478
118	eas3.jpg	1188	2526
119	eas3.jpg	1038	2538
120	eas3.jpg	224	1618
121	eas3.jpg	248	1786
122	eas3.jpg	408	1982
123	eas3.jpg	544	2254
124	eas3.jpg	560	2482
125	eas3.jpg	516	2678
126	eas3.jpg	460	2826
127	eas3.jpg	384	2970
128	eas3.jpg	332	2846
129	eas3.jpg	244	2630
130	eas3.jpg	156	2450
131	eas3.jpg	148	2230
132	eas3.jpg	160	2110
133	eas3.jpg	164	1994
134	eas3.jpg	188	1906
