"order" "label" "x1" "y1" "x2" "y2" "x3" "y3" "x4" "y4" "x5" "y5" "x6" "y6" "x7" "y7" "x8" "y8" "x9" "y9" "x10" "y10" "x11" "y11" "x12" "y12" "x13" "y13" "x14" "y14" "x15" "y15" "x16" "y16" "x17" "y17"
"1" "eas1.1.jpg" "1476" "1476" " 690" "1496" " 890" "1604" "1042" "1664" "1186" "1720" "1378" "1724" "1542" "1676" "1726" "1636" "1874" "1608" "1934" "1592" "2218" "1528" "2066" "1444" "1978" "1352" "1750" "1300" "1538" "1284" "1306" "1356" " 930" "1400" " 818"
"2" "eas1.1.jpg" "2184" "2184" " 622" "2204" " 850" "2240" "1242" "2204" "1594" "2104" "1882" "1976" "2090" "1812" "2226" "1780" "2106" "1800" "2046" "1764" "1826" "1772" "1446" "1824" "1238" "1920" "1078" "2008" " 914" "2084" " 830" "2120" " 770" "2148" " 690"
"3" "eas1.jpg" " 132" " 132" "2143" " 340" "2239" " 572" "2311" " 736" "2379" " 884" "2487" "1000" "2643" "1116" "2835" "1240" "3075" "1336" "3259" "1136" "3171" " 788" "3039" " 648" "2967" " 564" "2891" " 500" "2843" " 408" "2747" " 284" "2567" " 228" "2415"
"4" "eas1.jpg" "2464" "2464" "1691" "2398" "1943" "2350" "2312" "2248" "2627" "2137" "2786" "1966" "2927" "1699" "3113" "1555" "3233" "1618" "2951" "1690" "2675" "1762" "2477" "1804" "2360" "1837" "2324" "1924" "2159" "2074" "2021" "2203" "1931" "2326" "1829"
"5" "eas2.jpg" " 642" " 642" " 560" " 720" " 707" " 876" " 917" " 951" "1079" "1002" "1250" "1020" "1361" "1017" "1550" "1008" "1781" "1032" "2027" " 870" "1856" " 684" "1622" " 591" "1433" " 549" "1256" " 549" "1085" " 585" " 896" " 627" " 770" " 645" " 668"
"6" "eas2.jpg" "1897" "1897" "1814" "1855" "1924" "1865" "1954" "1835" "2030" "1753" "2186" "1689" "2256" "1631" "2314" "1465" "2354" "1227" "2376" "1285" "2268" "1381" "2112" "1435" "2070" "1507" "1988" "1575" "1938" "1663" "1904" "1725" "1876" "1785" "1876"
"7" "eas3.jpg" " 924" " 924" "2562" "1056" "2418" "1320" "2082" "1452" "1908" "1614" "1752" "1854" "1626" "2088" "1536" "2310" "1566" "2268" "1776" "2100" "2034" "2034" "2166" "1848" "2274" "1686" "2364" "1506" "2442" "1350" "2478" "1188" "2526" "1038" "2538"
"8" "eas3.jpg" "224" "224" "1618" "248" "1786" "408" "1982" "544" "2254" "560" "2482" "516" "2678" "460" "2826" "384" "2970" "332" "2846" "244" "2630" "156" "2450" "148" "2230" "160" "2110" "164" "1994" "188" "1906" "188" "1806" "200" "1742"
"9" "eas4.1.jpg" "2268" "2268" "2760" "2175" "2889" "2079" "2946" "1977" "2985" "1881" "3009" "1743" "3009" "1554" "2946" "1419" "2865" "1278" "2763" "1146" "2694" "1287" "2661" "1452" "2613" "1617" "2544" "1752" "2499" "1890" "2511" "2061" "2565" "2184" "2655"
"10" "eas4.1.jpg" " 69" " 69" "2944" "267" "2965" "441" "2911" "552" "2842" "666" "2731" "741" "2551" "822" "2404" "864" "2320" "936" "2236" "852" "2242" "774" "2251" "669" "2296" "558" "2344" "450" "2365" "327" "2422" "240" "2506" "150" "2686"
"11" "eas4.jpg" "2019" "2019" "1672" "1962" "1816" "1941" "1939" "1881" "2035" "1845" "2104" "1707" "2218" "1503" "2302" "1206" "2374" "1266" "2299" "1293" "2227" "1410" "2062" "1518" "1930" "1647" "1813" "1746" "1777" "1818" "1750" "1905" "1732" "1962" "1708"
"12" "eas4.jpg" "291" "291" "1450" "366" "1540" "480" "1585" "609" "1651" "708" "1744" "783" "1852" "840" "1993" "843" "2086" "894" "2164" "924" "2272" "762" "2179" "657" "2119" "573" "2053" "483" "1984" "420" "1906" "351" "1756" "309" "1624"
"13" "eas5.jpg" " 364" " 364" "1476" " 476" "1516" " 620" "1532" " 776" "1600" " 864" "1672" " 964" "1792" "1032" "1908" "1108" "2020" " 988" "2012" " 808" "1980" " 708" "1948" " 588" "1892" " 516" "1820" " 472" "1764" " 448" "1688" " 424" "1616" " 424" "1556"
"14" "eas5.jpg" "1821" "1821" "2440" "1841" "2572" "1817" "2648" "1765" "2776" "1661" "2864" "1517" "2924" "1365" "2992" "1273" "3000" "1317" "2908" "1353" "2828" "1389" "2740" "1425" "2680" "1465" "2620" "1545" "2556" "1593" "2508" "1665" "2480" "1729" "2440"
"15" "eas6.jpg" "2412" "2412" " 957" "2433" "1072" "2496" "1171" "2508" "1324" "2484" "1519" "2409" "1744" "2237" "1980" "1993" "2248" "1741" "2476" "1761" "2184" "1765" "1964" "1809" "1748" "1929" "1568" "2037" "1372" "2145" "1240" "2269" "1124" "2328" "1026"
"16" "eas6.jpg" " 660" " 660" "3726" " 780" "3600" " 906" "3510" "1032" "3408" "1158" "3282" "1248" "3108" "1290" "2892" "1302" "2676" "1374" "2298" "1080" "2580" "1374" "2316" "1200" "2472" " 942" "2694" " 864" "2838" " 726" "3024" " 678" "3228" " 678" "3474"
"17" "eas7.jpg" "2374" "2374" "2779" "2344" "2721" "2354" "2617" "2344" "2493" "2324" "2411" "2290" "2345" "2210" "2271" "2062" "2175" "1860" "2095" "1914" "2161" "1956" "2247" "1988" "2341" "2004" "2425" "2030" "2501" "2090" "2579" "2152" "2649" "2222" "2705"
"18" "eas7.jpg" " 161" " 161" "1746" " 341" "1752" " 476" "1761" " 578" "1788" " 689" "1854" " 803" "1941" " 884" "2028" "1028" "2121" " 905" "2109" " 719" "2127" " 629" "2124" " 542" "2091" " 470" "2052" " 401" "2001" " 356" "1965" " 305" "1917" " 245" "1812"
"19" "eas8.jpg" " 635" " 635" "1514" " 737" "1490" " 865" "1432" " 961" "1384" "1061" "1326" "1119" "1246" "1181" "1154" "1225" "1060" "1273" " 878" "1227" " 948" "1157" " 996" "1071" "1050" " 993" "1110" " 919" "1172" " 837" "1236" " 761" "1334" " 697" "1466"
"20" "eas8.jpg" " 789" " 789" "1782" " 819" "1872" " 906" "1941" " 975" "2016" "1020" "2118" "1053" "2220" "1080" "2334" "1074" "2460" "1086" "2541" "1110" "2673" "1044" "2604" " 975" "2553" " 924" "2520" " 828" "2421" " 774" "2328" " 747" "2220" " 747" "2049"
"21" "isa1.1.jpg" "1140" "1140" " 598" "1212" " 680" "1290" " 768" "1392" " 834" "1492" " 920" "1588" "1074" "1668" "1200" "1700" "1330" "1668" "1516" "1604" "1456" "1562" "1472" "1426" "1382" "1318" "1240" "1264" "1112" "1232" "1010" "1204" " 892" "1192" " 776"
"22" "isa1.1.jpg" "1958" "1958" "1852" "1874" "1936" "1772" "2050" "1658" "2221" "1526" "2335" "1379" "2422" "1211" "2482" "1034" "2458" " 992" "2422" "1016" "2305" "1169" "2152" "1307" "2053" "1424" "1999" "1529" "1954" "1616" "1924" "1733" "1912" "1844" "1897"
"23" "isa1.10.jpg" "2299" "2299" " 819" "2171" " 867" "2057" " 901" "1939" " 947" "1851" "1019" "1773" "1097" "1697" "1189" "1663" "1275" "1663" "1355" "1779" "1357" "1869" "1309" "1957" "1243" "2017" "1173" "2089" "1093" "2143" "1017" "2197" " 937" "2239" " 877"
"24" "isa1.10.jpg" "2547" "2547" "1610" "2478" "1624" "2371" "1651" "2295" "1671" "2219" "1700" "2149" "1735" "2086" "1795" "2035" "1851" "1989" "1983" "2091" "1990" "2185" "1960" "2271" "1895" "2357" "1832" "2411" "1766" "2449" "1716" "2487" "1660" "2518" "1632"
